ID,Signatur/shelfmark,Verfasser*in,Verfasser*in GND,Beteiligte/contributor,Beteiligte GND,Schreiberhand,Titel [Vorlage]/title [on document],Titel (fingiert/assigned),Titel (erschlossen),GND Werk (SZ),Werk Index ID,Aufschrift erstes Blatt / Identifying Inscription,"Konvoluttitel [entspricht ansonsten ""Einheitssachtitel der Werke""]",Datum [Vorlage]/date [on document],Datierung [erschlossen],Date supplied/verified,Datum [normiert]/date [normalized],Sprachencode [dreistellig],"Art, Umfang, Anzahl",Physical Description,Paginierung,Pagination,Beschreibstoff [wenn ungewöhnlich],Writing material (when important or unusual),Schreibstoff,Writing Instrument,Entstehungsort/place of creation,Provenienz/provenance,Erwerbung/acquisition,Ordnungskategorie [classification],Classification,Publikationsangabe,Personenschlagwort,GND Personenschlagwort,Werkschlagwort Dritte,GND Werkschlagwort Dritte,GND Standort,Hinweis,Notes/Statement,INTERNE HINWEISE
112,SZ-AAP/W-AA125.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Lucka, Emil",,,,,,"Lucka, Emil",,,,,ger,"Manuskript, 1 Blatt",,,,,,"Violette Tinte, schwarze Tinte",,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Lucka, Emil",http://d-nb.info/gnd/117261521,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Ludwig Emil zum 50. Geburtstag""",,
113,SZ-AAP/W-AA125.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Tod und Leben.,,,,,Berl. Lokalanzeiger,"Lucka, Emil",24. V. 1908,,,1908-05-24,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,Violette Tinte,,Berlin,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Berliner Lokalanzeiger, Berlin, 24. 5. 1908","Lucka, Emil",http://d-nb.info/gnd/117261521,"Tod und Leben. Roman, Berlin: Egon Fleischel & Co., 1908",,http://d-nb.info/gnd/1047605287,,,
114,SZ-AAP/W-AA125.2,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Isolde Weißhand.,,,,,,"Lucka, Emil",,August 1908,,1908-08,ger,"Zeitungsausschnitt, 1 Blatt",,Seite 1229 bis 1230,,,,,,Berlin,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Die Neue Rundschau, Berlin, Jg. 20, Nr. 8 (August 1908)","Lucka, Emil",http://d-nb.info/gnd/117261521,"Isolde Weißhand. Ein Roman aus alter Zeit, Berlin: S. Fischer, 1909",https://d-nb.info/1066793840,http://d-nb.info/gnd/1047605287,,,
115,SZ-AAP/W-AA125.3,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Winland. Novellen und Legenden.,,,,,Zweig,"Lucka, Emil",15. JULI 1912,,,1912-07-15,ger,"Zeitungsausschnitt, 1 Blatt",,Seite 1448,,,,Bleistift,,Berlin,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Das literarische Echo, Berlin, 15. 7. 1912","Lucka, Emil",http://d-nb.info/gnd/117261521,"Winland. Novellen und Legenden, Wien: Deutsch-österreichischer Verlag, 1912",,http://d-nb.info/gnd/1047605287,,,
116,SZ-AAP/W-AA125.4,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,"Emil Lucka. (Zum fünfzigsten Geburtstage, 11. Mai 1927.)",,,,,,"Lucka, Emil",,10. 5. 1927,,1927-05-10,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Neue Freie Presse, Wien, 10. 5. 1927","Lucka, Emil",http://d-nb.info/gnd/117261521,,,http://d-nb.info/gnd/1047605287,,,
117,SZ-AAP/W-AA126.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Ludwig, Emil",,,,,,"Ludwig, Emil",,,,,ger,"Manuskript, 1 Blatt",,,,,,"Violette Tinte, schwarze Tinte",,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Ludwig, Emil",http://d-nb.info/gnd/118780778,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Niels Lyhne (Jakobsen)""",,
118,SZ-AAP/W-AA126.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Emil Ludwig. Zum fünfzigsten Geburtstag.,,,,,,"Ludwig, Emil",25. Januar 1931,,,1931-01-25,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Neue Freie Presse, Wien, 25. 1. 1931","Ludwig, Emil",http://d-nb.info/gnd/118780778,,,http://d-nb.info/gnd/1047605287,,,
119,SZ-AAP/W-AA127.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Lüttich.,,,,,NFrPr.,Lüttich,11. 8. 14.,,,1914-08-11,ger,"Typoskript, 2 Blatt, 2 Exemplare",,(Blatt 2),,,,,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,,"Neue Freie Presse, Wien, 11. 8. 1914",,,,,http://d-nb.info/gnd/1047605287,,,
120,SZ-AAP/W-AA128.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt",Lust am Lesen,,,,,,Lust am Lesen,,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,,,,,http://d-nb.info/gnd/1047605287,,,
121,SZ-AAP/W-AA128.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Lust am Lesen,,,,,,Lust am Lesen,7/XI 1915,,,1915-11-07,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,Violette Tinte,,Berlin,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Vossische Zeitung, Berlin, 7. 11. 1915",,,,,http://d-nb.info/gnd/1047605287,,,
122,SZ-AAP/W-AA129.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,"Vorspiel zu einer Tragödie ""Adam Lux""",,,,,,"Lux, Adam",30. April 1929,,,1929-04-30,ger,"Zeitungsausschnitt, 1 Blatt",,Seite 15 und 16,,,,,,Salzburg,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Salzburger Wacht, Salzburg, 30. 4. 1929","Lux, Adam",http://d-nb.info/gnd/12409967X,,,http://d-nb.info/gnd/1047605287,,,
123,SZ-AAP/W-AA130.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Maass, Joachim",,,,,,"Maass, Joachim",,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Maass, Joachim",http://d-nb.info/gnd/118575627,,,http://d-nb.info/gnd/1047605287,,,
124,SZ-AAP/W-AA130.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,Stefan Zweig,Joachim Maass: Bohème ohne Mimi,,,,,Stefan Zweig Salzburg Kapuzinerberg,"Maass, Joachim",,März 1930,,1930-03,ger,"Typoskript, 3 Blatt, korrigiert",,Seite 2 und 3,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,,"Reclams Universum, Leipzig, 20. 3. 1930","Maass, Joachim",http://d-nb.info/gnd/118575627,"Bohème ohne Mimi, Berlin: S. Fischer, 1930",https://d-nb.info/574947620,http://d-nb.info/gnd/1047605287,,,
125,SZ-AAP/W-AA131.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Macht und Moral, Etwas über",,,,,"(""Eine kleine Anmerkung zu ... ""Das Lamm des Armen"")","Macht und Moral, Etwas über",,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,,,"Das Lamm des Armen, Leipzig: Insel Verlag, 1929",https://d-nb.info/578530112,http://d-nb.info/gnd/1047605287,,,
126,SZ-AAP/W-AA131.1,Stefan Zweig,http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Etwas über Macht und Moral,,,,,,"Macht und Moral, Etwas über",Mai 1930,,,1930-05,ger,"Zeitungsausschnitt, 2 Blatt",,Seite 285 bis 288,,,,Violette Tinte,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Kunst und Volk, Wien, Jg. 4, Nr. 9 (Mai 1930)",,,"Das Lamm des Armen, Leipzig: Insel Verlag, 1929",https://d-nb.info/578530112,http://d-nb.info/gnd/1047605287,,,
127,SZ-AAP/W-AA132.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt",Maeterlinck,,,,,,Maeterlinck,,,,,ger,"Manuskript, 1 Blatt",,,,,,"Violette Tinte, schwarze Tinte",,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Maeterlinck, Maurice",http://d-nb.info/gnd/118576089,,,http://d-nb.info/gnd/1047605287,,,
128,SZ-AAP/W-AA132.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Maurice Maeterlinck: Le temple ensevelie.,,,,,Beilage zur Allg Ztg.,Maeterlinck,,10. 5. 1902,,1902-05-10,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,Violette Tinte,,München,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Allgemeine Zeitung, München, 10. 5. 1902","Maeterlinck, Maurice",http://d-nb.info/gnd/118576089,"Le temple ensevelie, Paris: Charpentier, 1902",,http://d-nb.info/gnd/1047605287,,,
129,SZ-AAP/W-AA132.2,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Gedichte. Von Maurice Maeterlinck.,,,,,,Maeterlinck,,15. 7. 1908,,1908-07-15,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Das Literarische Echo, Berlin, 15. 7. 1908","Maeterlinck, Maurice",http://d-nb.info/gnd/118576089,"Gedichte. Verdeutscht von K. L. Ammer und Friedrich von Oppeln-Bronikowski, Jena: Eugen Diederichs, 1906",,http://d-nb.info/gnd/1047605287,,,
130,SZ-AAP/W-AA132.3,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Maeterlinck. Eine Studie von Johannes Schlaf.,,,,,,Maeterlinck,,1. 3. 1907,,1907-03-01,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Das Literarische Echo, Berlin, 1. 3. 1907","Maeterlinck, Maurice; Schlaf, Johannes",http://d-nb.info/gnd/118576089; http://d-nb.info/gnd/118607871,"Maeterlinck. Von Johannes Schlaf, Bard: Marquardt & Co., 1906. (Die Literatur, Hrsg. von Georg Brandes, Bd. 10)",https://d-nb.info/1066787875,http://d-nb.info/gnd/1047605287,,,
131,SZ-AAP/W-AA133.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Il ritorno della sedizione di Magellano.,,,,,,Magellan,,,,,ita,"Zeitungsausschnitt, 3 Blatt",,Seite 31 bis 33,,,,,,,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,,"Magalhães, Fernão de",http://d-nb.info/gnd/117518530,"Magellan. Der Mann und seine Tag, Wien: Herbert Reichner, 1937",,http://d-nb.info/gnd/1047605287,,,
132,SZ-AAP/W-AA134.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Mahler, Gustav",,,,,,"Mahler, Gustav",,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Mahler, Gustav",http://d-nb.info/gnd/118576291,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Gustav Mahler""",,
133,SZ-AAP/W-AA134.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Gustav Mahlers Wiederkehr.,,,,,NFrPresse,"Mahler, Gustav",25/IV 15,,,1915-06-25,ger,"Zeitungsausschnitt, 2 Blatt",,,,,,Violette Tinte,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Neue Freie Presse, Wien, 25. 4. 1915","Mahler, Gustav",http://d-nb.info/gnd/118576291,,,http://d-nb.info/gnd/1047605287,,,
134,SZ-AAP/W-AA135.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Mann, Thomas",,,,,,"Mann, Thomas",,,,,ger,"Manuskript, 1 Blatt",,,,,,"Violette Tinte, Bleistift",,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Mann, Thomas",http://d-nb.info/gnd/118577166,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Mann Thomas Rede u. Antwort""",,
135,SZ-AAP/W-AA135.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,"Thomas Manns ""Rede und Antwort""",,,,,,"Mann, Thomas",Dez 21,,,1921-12,ger,"Zeitungsausschnitt, 3 Blatt",,Seite 1315 bis 1326,,,,Bleistift,,Berlin,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Die Neue Rundschau, Berlin, Jg. 32, Heft 12 (Dezember 1921)","Mann, Thomas",http://d-nb.info/gnd/118577166,"Rede und Antwort. Gesammelte Abhandlungen und kleinere Aufsätze, Berlin: S. Fischer, 1921",https://d-nb.info/574986820,http://d-nb.info/gnd/1047605287,,,
136,SZ-AAP/W-AA135.2,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,An den Genius der Verantwortlichkeit,,,,,,"Mann, Thomas",Juni 25.,6. 6. 1925,,1925-06-06,ger,"Zeitungsausschnitt, 2 Blatt",,Seite 624 bis 626,,,,Bleistift,,Berlin,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Die Neue Rundschau, Berlin, Jg. 36, Heft 6 (6. 6. 1925)","Mann, Thomas",http://d-nb.info/gnd/118577166,,,http://d-nb.info/gnd/1047605287,,,
137,SZ-AAP/W-AA135.3,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Thomas Mann a Londra,,,,,,"Mann, Thomas",,,,,ita,"Typoskript, 4 Blatt, korrigiert",,Seite 2 bis 4,,,,Bleistift,,,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,,,"Mann, Thomas",http://d-nb.info/gnd/118577166,,,http://d-nb.info/gnd/1047605287,,,
138,SZ-AAP/W-AA136.0,Unbekannt,,,,Unbekannt,"Martinet, Marcel",,,,,,"Martinet, Marcel",,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Martinet, Marcel",http://d-nb.info/gnd/122298454,,,http://d-nb.info/gnd/1047605287,,,
139,SZ-AAP/W-AA136.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,Stefan Zweig,,Marcel Martinet,,,,,"Martinet, Marcel",,1936,,1936,ger,"Typoskript, 2 Blatt, korrigiert",,,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,,,"Martinet, Marcel",http://d-nb.info/gnd/122298454,,,http://d-nb.info/gnd/1047605287,"Deutscher Originaltext zur französischen Publikation in Les Humbles, Januar/Februar/März 1936",,
140,SZ-AAP/W-AA136.2,"Zweig, Stefan",http://d-nb.info/gnd/118637479,"Parijanine, Maurice",http://d-nb.info/gnd/124857760,Stefan Zweig,A Marcel Martinet,,,,,in Les Humbles,"Martinet, Marcel",Jan/Febr/März 1936,,,1936-01,frz,"Zeitungsausschnitt, 1 Blatt",,Seite 91 und 92,,,,Blauer Buntstift,,Paris,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Les Humbles, Paris, Januar/Februar/März 1936","Martinet, Marcel",http://d-nb.info/gnd/122298454,,,http://d-nb.info/gnd/1047605287,,,
141,SZ-AAP/W-AA137.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt",Masaryk,,,,,,Masaryk,,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Masaryk, Tomáš Garrigue",http://d-nb.info/gnd/118578626,,,http://d-nb.info/gnd/1047605287,,,
142,SZ-AAP/W-AA137.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Tomás Masaryk,,,,,,Masaryk,,1937,,1937,ger,"Typoskript, 1 Blatt",,,,,,,,,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,,,"Masaryk, Tomáš Garrigue",http://d-nb.info/gnd/118578626,,,http://d-nb.info/gnd/1047605287,"Veröffentlicht unter dem Titel ""An der Bahre Th. G. Masaryks"", Die Wahrheit, Prag, 15. September 1937",,
143,SZ-AAP/W-AA138.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Masereel, Frans",,,,,,"Masereel, Frans",,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Ein Roman ohne Worte (Masereel)""",,
144,SZ-AAP/W-AA138.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Ein Roman ohne Worte.,,,,,"National Ztg, Basel","Masereel, Frans",4. XII. 1918,,,1918-12-04,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,Violette Tinte,,Basel,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"National-Zeitung, Basel, 4. Dezember 1918","Masereel, Frans",http://d-nb.info/gnd/118578669,"25 Images de la Passion d'un Homme (Die Passion eines Menschen), Genf, Selbstverlag, 1918",https://d-nb.info/368849562,http://d-nb.info/gnd/1047605287,,,
145,SZ-AAP/W-AA138.2,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Frans Masereels Ulenspiegel.,,,,,,"Masereel, Frans",,20. 2. 1927,,1927-02-20,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,,,Berlin,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Berliner Tageblatt, Berlin, 20. Februar 1927","Masereel, Frans; De Coster, Charles",http://d-nb.info/gnd/118578669; http://d-nb.info/gnd/118677055,"Die Geschichte von Ulenspiegel und Lamme Goedzak und ihren heldenmäßigen, fröhlichen und glorreichen Abenteuern im Lande Flandern und anderwärts, München: Kurt Wolff Verlag, 1926. Bd. 1 und 2",https://d-nb.info/365468207,http://d-nb.info/gnd/1047605287,,,
146,SZ-AAP/W-AA138.3,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Der Holzschneider Frans Masereel,,,,,,"Masereel, Frans",29. September 1923,,,1923-09-29,ger,"Zeitungsausschnitt, 1 Blatt",,Seite 5 und 6,,,,,,Berlin,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Berliner Börsen-Courier, Berlin, 29. 9. 1923","Masereel, Frans",http://d-nb.info/gnd/118578669,"Frans Masereel. Mit Beiträgen von Stefan Zweig und Arthur Holitscher, Berlin: Axel Juncker Verlag, 1923",https://d-nb.info/580222349,http://d-nb.info/gnd/1047605287,"Vorabdruck des Aufsatzes ""Frans Masereel. Der Mann und Bildner"" (Berlin: Axel Juncker, 1923)",,
147,SZ-AAP/W-AA138.4,"Zweig, Stefan",http://d-nb.info/gnd/118637479,"Zweig, Lotte",http://d-nb.info/gnd/116001151,Lotte Zweig,,Frans Masereel,,,,Vorwort zum Ausstellungskatalog London 1936,"Masereel, Frans",1936,1936-2,,1936,ger,"Typoskript, 3 Blatt",,Seite 2 und 3,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,,,"Masereel, Frans",http://d-nb.info/gnd/118578669,,,http://d-nb.info/gnd/1047605287,"Deutscher Originaltext zur englischen ,Prefactory Note', Katalog zur Masereel-Einzelausstellung in London, Leicester Gallery, März 1936",,
148,SZ-AAP/W-AA139.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Méndez Pereira: Nuñez de Balboa,,,,,,Méndez Periera,,,,,spa,"Typoskript, 1 Blatt, 2 Exemplare",,,,,,,,,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,,,"Méndez Pereira, Octavio; Balboa, Vasco Núñez de",http://d-nb.info/gnd/1057261076; http://d-nb.info/gnd/118652052,,,http://d-nb.info/gnd/1047605287,"Vermutlich Abschrift aus einem Buch, eventuell als Material für die ,Sternstunde' ""Die Flucht in die Unsterblichkeit""",,
149,SZ-AAP/W-AA140.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Meunier, Konstantin",,,,,,"Meunier, Konstantin",,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Meunier, Constantin",http://d-nb.info/gnd/118733222,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Konstantin Meunier""",,
150,SZ-AAP/W-AA140.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Konstantin Meunier.,,,,,,"Meunier, Konstantin",,,,,ger,"Zeitungsausschnitt, 4 Blatt",,Seite 604 bis 610,,,,,,Berlin,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Berlin: Die weite Welt/Vom Fels zum Meer, 26. Dezember 1902","Meunier, Constantin",http://d-nb.info/gnd/118733222,,,http://d-nb.info/gnd/1047605287,,,
151,SZ-AAP/W-AA141.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Meyer-Sammlungen, Die drei",,,,,,"Meyer-Sammlungen, Die drei",,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,,,,,http://d-nb.info/gnd/1047605287,,,
152,SZ-AAP/W-AA141.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Die drei Meyer-Sammlungen.,,,,,Berl. Tagbl.,"Meyer-Sammlungen, Die drei",17. Juni 24,,,1924-06-17,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,Bleistift,,Berlin,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Berliner Tageblatt, Berlin, 17. Juni 1924","Meyer, Arthur; Meyer, Cornelius; Meyer, Richard M.",http://d-nb.info/gnd/117569992; http://d-nb.info/gnd/1195821182; http://d-nb.info/gnd/119034751,,,http://d-nb.info/gnd/1047605287,,,
153,SZ-AAP/W-AA142.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt",Meysenbug,,,,,,Meysenbug,,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Meysenbug, Malwida von",http://d-nb.info/gnd/118582054,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Malvida v. Meysenbug""",,
154,SZ-AAP/W-AA142.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Bildnis Malvida v. Meysenbugs in Briefen.,,,,,,Meysenbug,,20. 10. 1932,,1932-10-20,ger,"Zeitungsausschnitt, 2 Blatt",,,,,,,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Neue Freie Presse, Wien, 20. 10. 1932","Meysenbug, Malwida von",http://d-nb.info/gnd/118582054,"Romain Rolland - Malvida v. Meysenbug, ein Briefwechsel. Übersetzt von Berta Schleicher, Stuttgart: Engelhorn, 1932",,http://d-nb.info/gnd/1047605287,,,
155,SZ-AAP/W-AA143.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Mitterer, Erika",,,,,,"Mitterer, Erika",,,,,ger,"Manuskript, 1 Blatt",,,,,,"Violette Tinte, schwarze Tinte",,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Mitterer, Erika",http://d-nb.info/gnd/119023911,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Erika Mitterer""",,
156,SZ-AAP/W-AA143.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,"Erika Mitterer: ""Dank des Lebens"". Gedichte.",,,,,,"Mitterer, Erika",1930,,,1930,ger,"Typoskript, 3 Blatt",,Seite 2 und 3,,,,,,,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,,,"Mitterer, Erika",http://d-nb.info/gnd/119023911,"Dank des Lebens. Gedichte, Frankfurt am Main: Rütten & Loening, 1930",,http://d-nb.info/gnd/1047605287,,,
157,SZ-AAP/W-AA144.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt",Moissis Neubeginn,,,,,,Moissis Neubeginn,,,,,ger,"Manuskript, 1 Blatt",,,,,,"Violette Tinte, schwarze Tinte",,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,"Moissi, Alexander",http://d-nb.info/gnd/118583271,,,http://d-nb.info/gnd/1047605287,,,
158,SZ-AAP/W-AA144.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Moissis Neubeginn,,,,,,Moissis Neubeginn,29. 10. 31,,,1931-10-29,ger,"Zeitungsausschnitt, 1 Blatt",,,,,,Blaue Tinte,,Hamburg,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Hamburger Fremdenblatt, Hamburg, 29. 10. 1931","Moissi, Alexander",http://d-nb.info/gnd/118583271,,,http://d-nb.info/gnd/1047605287,,,
159,SZ-AAP/W-AA145.0,"Rieger, Erwin",http://d-nb.info/gnd/116538597,,,Erwin Rieger,"Monotonisierung der Welt, Die",,,,,,"Monotonisierung der Welt, Die",,,,,ger,"Manuskript, 1 Blatt",,,,,,Violette Tinte,,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,,,,,,,http://d-nb.info/gnd/1047605287,,,
160,SZ-AAP/W-AA145.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Die Monotonisierung der Welt,,,,,,"Monotonisierung der Welt, Die",,1925,,1925,ger,"Einzelband, 10 Seiten",,Seite 311 bis 320,,,,,,Berlin,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,,"Das Pantheon. Ein Handbuch deutscher Dichtung und Kunst der Gegenwart. Hrsg. von Hanns Martin Elster, Berlin: Deutsche Buchgemeinschaft, 1925",,,,,http://d-nb.info/gnd/1047605287,,,
