ID,Signatur/shelfmark,Verfasser*in,Verfasser*in GND,Beteiligte/contributor,Beteiligte GND,Schreiberhand,Titel [Vorlage]/title [on document],Titel (fingiert/assigned),Titel (erschlossen),GND Werk (SZ),Werk Index ID,Aufschrift erstes Blatt / Identifying Inscription,"Konvoluttitel [entspricht ansonsten ""Einheitssachtitel der Werke""]",Datum [Vorlage]/date [on document],Datierung erschlossen,Date supplied/verified,Datum [normiert]/date [normalized],Sprachencode [dreistellig],"Art, Umfang, Anzahl",Physical Description,Paginierung,Pagination,Beschreibstoff [wenn ungewöhnlich],Writing material (when important or unusual),Schreibstoff,Writing Instrument,Entstehungsort/place of creation,Provenienz/provenance,Erwerbung/acquisition,Ordnungskategorie [classification],Classification,Publikationsangabe,Personenschlagwort,GND Personenschlagwort,Werkschlagwort Dritte,GND Werkschlagwort Dritte,GND Standort,Hinweis,Notes/Statement,INTERNE HINWEISE
311,SZ-AAP/W-AA102.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Joyce, James",,,,,,"Joyce, James",,,,,ger,"Manuskript, 1 Blatt","Manuscript, 1 leaf",,,,,Violette Tinte,Purple ink,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,Index sheets,,"Joyce, James",http://d-nb.info/gnd/118558501,,,http://d-nb.info/gnd/1047605287,,,
312,SZ-AAP/W-AA103.0,Unbekannt,,"Zweig, Lotte",http://d-nb.info/gnd/116001151,"Lotte Zweig, Unbekannt",Jüdische Arbeiten,,,,,,Jüdische Arbeiten,,,,,ger,"Manuskript, 1 Blatt, korrigiert","Manuscript, 1 leaf, corrected",,,,,"Violette Tinte, Bleistift","Purple ink, pencil",,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,Index sheets,,,,,,http://d-nb.info/gnd/1047605287,,,
313,SZ-AAP/W-AA103.1.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,"Zweig, Lotte",http://d-nb.info/gnd/116001151,Lotte Zweig,Das Haus der tausend Schicksale,,,,,"Jüdische Revue, Prag",Jüdische Arbeiten,Sept. 1937,,,1937-09,ger,"Zeitungsausschnitt, 3 Blatt","Newspaper clipping, 3 leaves",,,,,Violette Tinte,Purple ink,Prag,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Jüdische Revue, Prag, September 1937, S. 552–555",,,,,http://d-nb.info/gnd/1047605287,,,
314,SZ-AAP/W-AA103.1.2,"Zweig, Stefan",http://d-nb.info/gnd/118637479,"Zweig, Lotte",http://d-nb.info/gnd/116001151,Lotte Zweig,Das Haus der tausend Schicksale,,,,,"Hilfsverein deutschsprechender Juden, Buenos Aires",Jüdische Arbeiten,I. III. 1937,,,1937-03-01,ger,"Zeitungsausschnitt, 6 Blatt","Newspaper clipping, 6 leaves",,,,,Violette Tinte,Purple ink,Buenos Aires,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Mitteilungsblatt des Hilfsvereins deutschsprechender Juden, Buenos Aires, 1. 3. 1937, S. 10–14",,,,,http://d-nb.info/gnd/1047605287,,,REIHENFOLGE DER DIGITALISATE??
315,SZ-AAP/W-AA103.1.3,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,The House of a Thousand Destinies,,,,,,Jüdische Arbeiten,,1937,1937,1937,eng,"Typoskriptdurchschlag, 5 Blatt","Typescript (carbon copy), 5 leaves",2–5,2–5,,,Schwarzes Durchschlagpapier,Black carbon paper,,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,Typescripts,,,,,,http://d-nb.info/gnd/1047605287,,,
316,SZ-AAP/W-AA103.2,"Zweig, Stefan",http://d-nb.info/gnd/118637479,"Zweig, Lotte",http://d-nb.info/gnd/116001151,Lotte Zweig,Eine unveröffentlichte Ansprache,,,,,"Hilfsverein deutschsprechender Juden, Buenos Aires",Jüdische Arbeiten,1. 10. 1936,,,1936-10-01,ger,"Zeitungsausschnitt, 10 Blatt","Newspaper clipping, 10 leaves",,,,,"Bleistift, roter Buntstift","Pencil, red crayon",Buenos Aires,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Mitteilungsblatt des Hilfsvereins deutschsprechender Juden, Buenos Aires, 1. 10. 1936, S. 7–16",,,,,http://d-nb.info/gnd/1047605287,,,
317,SZ-AAP/W-AA103.3,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Stephan Zweig an Joseph Leftwich: Stellungnahme zur Jto,,,,,,Jüdische Arbeiten,27. November 1936,,,1936-11-27,ger,"Zeitungsausschnitt, 1 Blatt","Newspaper clipping, 1 leaf",,,,,,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Kraft aus dem Boden! Organ der Freiland-Liga Jüdische Territorial-Organisation Österreichs, Wien, 27. 11. 1936, S. 2","Leftwich, Joseph",http://d-nb.info/gnd/1037749278,What will happen to the Jews?,https://d-nb.info/1032749288,http://d-nb.info/gnd/1047605287,,,
318,SZ-AAP/W-AA103.4,"Zweig, Stefan",http://d-nb.info/gnd/118637479,"Zweig, Lotte",http://d-nb.info/gnd/116001151,Lotte Zweig,Für das Inter-aid committee for children from Germany,,,,,London 1937,Jüdische Arbeiten,1937,,,1937,ger,"Typoskriptdurchschlag, 3 Blatt","Typescript (carbon copy), 3 leaves",2–3,2–3,,,"Schwarzes Durchschlagpapier, violette Tinte","Black carbon paper, purple ink",London,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,Typescripts,,,,,,http://d-nb.info/gnd/1047605287,,,
319,SZ-AAP/W-AA103.5,"Zweig, Stefan",http://d-nb.info/gnd/118637479,"Zweig, Lotte",http://d-nb.info/gnd/116001151,Lotte Zweig,"Für die Maccabi-Association, London",,,,,,Jüdische Arbeiten,Okt. 1937,,,1937-10,ger,"Typoskriptdurchschlag, 2 Blatt","Typescript (carbon copy), 2 leaves",,,,,"Schwarzes Durchschlagpapier, blauer Buntstift","Black carbon paper, blue pencil",London,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,Typescripts,,,,,,http://d-nb.info/gnd/1047605287,,,
320,SZ-AAP/W-AA103.6,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,,Whither Jewry?,,,,,Jüdische Arbeiten,,1935,1935,1935,ger,"Manuskript, 4 Blatt","Manuscript, 4 leaves",2–4,2–4,,,Violette Tinte,Purple ink,London,Archiv Atrium Press,Ankauf Christie's London 2014,Manuskripte,Manuscripts,,"Leftwich, Joseph",http://d-nb.info/gnd/1037749278,,,http://d-nb.info/gnd/1047605287,"Fragment einer Rede für ein Symposium der jiddischen Zeitschrift Das Yiddishe Vort in London 1935, dort von Joseph Leftwich in einer von ihm übersetzten Fassung verlesen.","Fragment of a speech for a symposium of the Yiddish magazine Das Yiddishe Vort in London in 1935, read there by Joseph Leftwich in a version translated by him.",
321,SZ-AAP/W-AA103.7,"Zweig, Stefan",http://d-nb.info/gnd/118637479,"Zweig, Lotte",http://d-nb.info/gnd/116001151,Lotte Zweig,Aufruf für die österreichischen Juden,,,,,,Jüdische Arbeiten,1938,,,1938,ger,"Typoskriptdurchschlag, 2 Blatt, korrigiert","Typescript (carbon copy), 2 leaves, corrected",,,,,"Schwarzes Durchschlagpapier, blauer Buntstift, rote Tinte","Black carbon paper, blue pencil, red ink",,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,Typescripts,,,,,,http://d-nb.info/gnd/1047605287,,,
322,SZ-AAP/W-AA103.8,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,,"""In der schweren Zeitspanne, die wir durchschreiten, ...""",,,,II,Jüdische Arbeiten,,,,,ger,"Typoskript, 5 Blatt","Typescript, 5 leaves",2–5,2–5,,,"Schwarzes Farbband, Bleistift","Black ribbon, pencil",,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,Typescripts,,,,,,http://d-nb.info/gnd/1047605287,,,
323,SZ-AAP/W-AA103.9,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,"Für die ""Fraie Tribune"", Paris",,,,,,Jüdische Arbeiten,Dezember 1938.,,,1938-12,ger,"Typoskriptdurchschlag, 3 Blatt, korrigiert","Typescript (carbon copy), 3 leaves, corrected",2–3,2–3,,,"Schwarzes Durchschlagpapier, violette Tinte","Black carbon paper, purple ink",Paris,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,Typescripts,"Oyfn Sheydveg (Au carrefour), Paris, Nr. 1 (April 1939), S. 103-105. ",,,,,http://d-nb.info/gnd/1047605287,,,
324,SZ-AAP/W-AA103.10,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Gegenwart und Zukunft der jüdischen Literatur. Eine Umfrage,,,,,,Jüdische Arbeiten,,September 1936,September 1936,1936-09,ger,"Zeitungsausschnitt, 2 Blatt","Newspaper clipping, 2 leaves",,,,,Blaue Tinte,Blue ink,Berlin,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Der Morgen, Berlin, Jg. 12, Nr. 9 (September 1936), S. 264-265",,,,,http://d-nb.info/gnd/1047605287,,,
325,SZ-AAP/W-AA103.11,"Zweig, Stefan",http://d-nb.info/gnd/118637479,"Zweig, Lotte",http://d-nb.info/gnd/116001151,Lotte Zweig,Keep out of Politics!,,,,,"Query Book 2, 1938",Jüdische Arbeiten,1938,,,1938,eng,"Zeitungsausschnitt, 1 Blatt","Newspaper clipping, 1 leaf",,,,,Violette Tinte,Purple ink,London,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Query, London, Nr. 1/2 (Juli 1938), Book 2 (The Jews), S. 77",,,,,http://d-nb.info/gnd/1047605287,,,
326,SZ-AAP/W-AA104.0,Unbekannt,,"Rieger, Erwin; Zweig, Lotte",http://d-nb.info/gnd/116538597; http://d-nb.info/gnd/116001151,"Erwin Rieger, Lotte Zweig","Jusquauboutismus, Gegen den",,,,,,"Jusquauboutismus, Gegen den",,,,,ger,"Manuskript, 1 Blatt","Manuscript, 1 leaf",,,,,Violette Tinte,Purple ink,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,Index sheets,,,,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Die Kathedrale von Chartres""","Original inscription: ""The Cathedral of Chartres""",
327,SZ-AAP/W-AA105.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Gedächtnis eines deutschen Menschen,,,,,Im Jahrbuch v. Heuschele | Dr Ami Kammerer Hamburg,Kaemmerer,,1927,1927,1927,ger,"Typoskriptdurchschlag, 3 Blatt","Typescript (carbon copy), 3 leaves",2–3,2–3,,,"Schwarzes Durchschlagpapier, schwarze Tinte","Black carbon paper, black ink",,Archiv Atrium Press,Ankauf Christie's London 2014,Typoskripte,Typescripts,"Die Ausfahrt. Ein Buch deutscher Dichtung, Reihe 1, hrsg. von Otto Heuschele, Stuttgart: Silberburg, 1927. S. 5-8.","Kaemmerer, Ami",http://d-nb.info/gnd/1217682775,,,http://d-nb.info/gnd/1047605287,,,
328,SZ-AAP/W-AA106.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Kainz, Josef",,,,,,"Kainz, Josef",,,,,ger,"Manuskript, 1 Blatt","Manuscript, 1 leaf",,,,,"Violette Tinte, schwarze Tinte","Purple ink, black ink",,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,Index sheets,,"Kainz, Josef",http://d-nb.info/gnd/118559389,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Josef Kainz | In memoriam J. K. | Titel | Die Stimme""","Original inscription: ""Josef Kainz | In memoriam J. K. | Titel | Die Stimme""",
329,SZ-AAP/W-AA107.0,Unbekannt,,"Rieger, Erwin; Zweig, Lotte",http://d-nb.info/gnd/116538597; http://d-nb.info/gnd/116001151,"Erwin Rieger, Lotte Zweig","Kampf um den Suezkanal, Der",,,,,,"Kampf um den Suezkanal, Der",,,,,ger,"Manuskript, 1 Blatt","Manuscript, 1 leaf",,,,,Violette Tinte,Purple ink,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,Index sheets,,,,,,http://d-nb.info/gnd/1047605287,,,
330,SZ-AAP/W-AA107.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Der Kampf um den Suezkanal.,,,,,N Fr Presse,"Kampf um den Suezkanal, Der",18/XI 1914.,,,1914-11-18,ger,"Zeitungsausschnitt, 2 Blatt","Newspaper clipping, 2 leaves",,,,,Violette Tinte,Purple ink,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Neue Freie Presse, Wien, 18. 11. 1914, S. 1-3",,,,,http://d-nb.info/gnd/1047605287,,,
331,SZ-AAP/W-AA108.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Kaßner, Rudolf",,,,,,"Kaßner, Rudolf",,,,,ger,"Manuskript, 1 Blatt","Manuscript, 1 leaf",,,,,"Violette Tinte, schwarze Tinte","Purple ink, black ink",,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,Index sheets,,"Kassner, Rudolf",http://d-nb.info/gnd/118560492,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Rudolf Kassner""","Original inscription: ""Rudolf Kassner""",
332,SZ-AAP/W-AA108.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Rudolf Kaßner. Der Tod und die Maske.,,,,,,"Kaßner, Rudolf",5/VII. 1902.,,,1902-07-05,ger,"Zeitungsausschnitt, 1 Blatt","Newspaper clipping, 1 leaf",,,,,Violette Tinte,Purple ink,Hamburg,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Neue Hamburger Zeitung, Hamburg, 5. 7. 1902","Kassner, Rudolf",http://d-nb.info/gnd/118560492,Der Tod und die Maske. Gleichnisse,https://d-nb.info/997798211,http://d-nb.info/gnd/1047605287,,,
333,SZ-AAP/W-AA108.2,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Elemente der Menschengröße.,,,,,,"Kaßner, Rudolf",13/III. 1912.,,,1912-03-13,ger,"Zeitungsausschnitt, 1 Blatt","Newspaper clipping, 1 leaf",,,,,Violette Tinte,Purple ink,Berlin,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Berliner Tageblatt, Berlin, 13. 3. 1912","Kassner, Rudolf",http://d-nb.info/gnd/118560492,Von den Elementen der menschlichen Größe,https://d-nb.info/452331617,http://d-nb.info/gnd/1047605287,,,
334,SZ-AAP/W-AA109.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Keller, Gottfried",,,,,,"Keller, Gottfried",,,,,ger,"Manuskript, 1 Blatt","Manuscript, 1 leaf",,,,,"Violette Tinte, schwarze Tinte","Purple ink, black ink",,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,Index sheets,,"Keller, Gottfried",http://d-nb.info/gnd/11856109X,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Gottfried Kellers erneuertes Lebensbild""","Original inscription: ""Gottfried Kellers erneuertes Lebensbild""",
335,SZ-AAP/W-AA109.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Gottfried Kellers erneuertes Lebensbild.,,,,,N. Fr Presse,"Keller, Gottfried",30./XII. 1915,,,1915-12-30,ger,"Zeitungsausschnitt, 2 Blatt","Newspaper clipping, 2 leaves",,,,,Schwarze Tinte,Black ink,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Neue Freie Presse, Wien, 30. 12. 1915","Keller, Gottfried; Bächtold, Jakob; Ermatinger, Emil",http://d-nb.info/gnd/11856109X; http://d-nb.info/gnd/118651706; https://d-nb.info/gnd/118682334,"Gottfried Kellers Leben. Briefe und Tagebücher. Auf Grund der Biographie Jakob Baechtolds, dargestellt und hrsg. von Emil Ermatinger, Bd. 1-3, Stuttgart: Cotta Nachfolger, 1913-1915.",https://d-nb.info/1138940801,http://d-nb.info/gnd/1047605287,,,
336,SZ-AAP/W-AA110.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","Key, Ellen",,,,,,"Key, Ellen",,,,,ger,"Manuskript, 1 Blatt","Manuscript, 1 leaf",,,,,"Violette Tinte, schwarze Tinte","Purple ink, black ink",,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,Index sheets,,"Key, Ellen",http://d-nb.info/gnd/11893449X,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Ellen Key""","Original inscription: ""Ellen Key""",
337,SZ-AAP/W-AA110.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Ellen Keys Rahelbuch.,,,,,,"Key, Ellen",,18. 12. 1907,18. 12. 1907,1907-12-18,ger,"Zeitungsausschnitt, 2 Blatt","Newspaper clipping, 2 leaves",,,,,,,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Die Zeit, Wien, 18.12.1907","Key, Ellen",http://d-nb.info/gnd/11893449X,"Rahel Varnhagen (Biographien bedeutender Frauen, Bd. 7). Aus dem schwedischen Manuskript übersetzt von Mizzi Franzos, Leipzig: G. Haberlandt, 1907.",https://d-nb.info/574296611,http://d-nb.info/gnd/1047605287,,,
338,SZ-AAP/W-AA110.2,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Drei Frauenschicksale.,,,,,,"Key, Ellen",2. VIII 1908.,,,1908-08-02,ger,"Zeitungsausschnitt, 1 Blatt","Newspaper clipping, 1 leaf",,,,,Violette Tinte,Purple ink,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Die Zeit, Wien, 2. 12. 1908, S. 16","Key, Ellen",http://d-nb.info/gnd/11893449X,"Drei Frauenschicksale. Von Ellen Key, Berlin: S. Fischer, 1908.",https://d-nb.info/1220172987,http://d-nb.info/gnd/1047605287,,,
339,SZ-AAP/W-AA111.0,Unbekannt,,"Rieger, Erwin; Unbekannt",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt",Kippenberg,,,,,,Kippenberg,,,,,ger,"Manuskript, 1 Blatt","Manuscript, 1 leaf",,,,,"Violette Tinte, schwarze Tinte","Purple ink, black ink",,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,Index sheets,,"Kippenberg, Anton",http://d-nb.info/gnd/118723081,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Kippenberg Prof. Dr. Anton""","Original inscription: ""Kippenberg Prof. Dr. Anton""",
340,SZ-AAP/W-AA111.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Bericht über ein Goethe-Museum. (Der Katalog der Sammlung Kippenberg.),,,,,Neue fr Presse,Kippenberg,3. Febr. 1929,,,1929-02-03,ger,"Zeitungsausschnitt, 1 Blatt","Newspaper clipping, 1 leaf",,,,,Bleistift,Pencil,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Neue Freie Presse, 3. 2. 1929","Kippenberg, Anton",http://d-nb.info/gnd/118723081,Katalog der Sammlung Kippenberg,https://d-nb.info/1132638852,http://d-nb.info/gnd/1047605287,,,
341,SZ-AAP/W-AA111.2,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,,Verse aus einem Stammbuch dem Freunde zu seinem sechzigsten Geburtstag am 24. Mai 1934 gewidmet,,,,,,Kippenberg,,,,,ger,"Druckfahne, 1 Blatt","Galley proof, 1 leaf",,,,,,,,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,,"Kippenberg, Anton",http://d-nb.info/gnd/118723081,,,http://d-nb.info/gnd/1047605287,,,
342,SZ-AAP/W-AA112.0,Unbekannt,,"Rieger, Erwin; Zweig, Lotte",http://d-nb.info/gnd/116538597; http://d-nb.info/gnd/116001151,"Erwin Rieger, Lotte Zweig","Kirchweih des guten Essens, Die",,,,,(Dijon),"Kirchweih des guten Essens, Die",,,,,ger,"Manuskript, 1 Blatt","Manuscript, 1 leaf",,,,,"Violette Tinte, Bleistift","Purple ink, pencil",,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,Index sheets,,,,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Kirchweih des guten Essens""","Original inscription: ""Kirchweih des guten Essens""",
343,SZ-AAP/W-AA112.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Die Kirchweih des guten Essens.,,,,,B. T.,"Kirchweih des guten Essens, Die",24. XI 25.,,,1925-11-24,ger,"Zeitungsausschnitt, 1 Blatt","Newspaper clipping, 1 leaf",,,,,Bleistift,Pencil,Berlin,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Berliner Tageblatt, 24. 11. 1925",,,,,http://d-nb.info/gnd/1047605287,,,
344,SZ-AAP/W-AA113.0,Unbekannt,,"Rieger, Erwin; Zweig, Lotte",http://d-nb.info/gnd/116538597; http://d-nb.info/gnd/116001151,"Erwin Rieger, Lotte Zweig","Kolbenheyer, E. G.",,,,,,"Kolbenheyer, E. G.",,,,,ger,"Manuskript, 1 Blatt","Manuscript, 1 leaf",,,,,Violette Tinte,Purple ink,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,Index sheets,,"Kolbenheyer, Erwin Guido",http://d-nb.info/gnd/118564803,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Erwin Guido Kolbenheyer""","Original inscription: ""Erwin Guido Kolbenheyer""",
345,SZ-AAP/W-AA113.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Erwin Guido Kolbenheyer: Giordano Bruno,,,,,Beilage zur Allg Ztg.,"Kolbenheyer, E. G.",,20. 2. 1903,20. 2. 1903,1903-02-20,ger,"Zeitungsausschnitt, 1 Blatt","Newspaper clipping, 1 leaf",,,,,Violette Tinte,Purple ink,München,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Allgemeine Zeitung, München, 20. 2. 1903","Kolbenheyer, Erwin Guido",http://d-nb.info/gnd/118564803,"Giordano Bruno. Die Tragödie der Renaissance, Wien: C. W. Stern, 1903.",,http://d-nb.info/gnd/1047605287,,,
346,SZ-AAP/W-AA113.2,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Zwei Bücher und eine Landschaft.,,,,,N Fr Presse,"Kolbenheyer, E. G.",3/V. 1918,,,1918-05-03,ger,"Zeitungsausschnitt, 2 Blatt","Newspaper clipping, 2 leaves",,,,,"Violette Tinte, blauer Buntstift","Purple ink, blue pencil",Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Neue Freie Presse, Wien, 3. 5. 1918","Kolbenheyer, Erwin Guido; Schäfer, Wilhelm",http://d-nb.info/gnd/118564803; http://d-nb.info/gnd/118794868,"Kindheit des Paracelsus, München: G. Müller, 1917; Lebenstag eines Menschenfreundes, München: G. Müller, 1916",https://d-nb.info/361086172; https://d-nb.info/361678398,http://d-nb.info/gnd/1047605287,,,
347,SZ-AAP/W-AA114.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt","(Kosor, Josip)",,,,,,"Kosor, Josip",,,,,ger,"Manuskript, 1 Blatt","Manuscruipt, 1 leaf",,,,,"Violette Tinte, schwarze Tinte","Purple ink, black ink",,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,Index sheets,,"Kosor, Josip",http://d-nb.info/gnd/118949802,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Josip Kosor""","Original inscription: ""Josip Kosor""",
348,SZ-AAP/W-AA114.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Ein kroatischer Dramatiker.,,,,,"""Der Merker"" 1913 Heft I.","Kosor, Josip",1913,Januar 1913,January 1913,1913-01,ger,"Zeitungsausschnitt, 2 Blatt","Newspaper clipping, 2 leaves",,,,,Schwarze Tinte,Black ink,Wien,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Der Merker, Wien, Jg. 4, Nr. 1 (erstes Jänner-Heft), S. 19–22","Kosor, Josip",http://d-nb.info/gnd/118949802,"Brand der Leidenschaften, München: Rubin-Verlag, 1911",,http://d-nb.info/gnd/1047605287,,,
349,SZ-AAP/W-AA115.0,Unbekannt,,"Rieger, Erwin",http://d-nb.info/gnd/116538597,"Erwin Rieger, Unbekannt",Das Kreuz,,,,,,Das Kreuz,,,,,ger,"Manuskript, 1 Blatt","Manuscript, 1 leaf",,,,,"Violette Tinte, schwarze Tinte","Purple ink, black ink",,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,Index sheets,,,,,,http://d-nb.info/gnd/1047605287,,,
350,SZ-AAP/W-AA115.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Das Kreuz.,,,,,,Das Kreuz,6/I 1906,,,1906-01-06,ger,"Zeitungsausschnitt, 2 Blatt","Newspaper clipping, 2 leaves",,,,,Violette Tinte,Purple ink,Berlin,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Die Nation, Berlin, 6. 1. 1906, S. 222–224",,,,,http://d-nb.info/gnd/1047605287,,,
351,SZ-AAP/W-AA116.0,Unbekannt,,"Rieger, Erwin; Zweig, Lotte",http://d-nb.info/gnd/116538597; http://d-nb.info/gnd/116001151,"Erwin Rieger, Lotte Zweig","Lammasch, Heinrich",,,,,,"Lammasch, Heinrich",,,,,ger,"Manuskript, 1 Blatt","Manuscript, 1 leaf",,,,,Violette Tinte,Purple ink,,Archiv Atrium Press,Ankauf Christie's London 2014,Registerblätter,Index sheets,,"Lammasch, Heinrich",http://d-nb.info/gnd/118726110,,,http://d-nb.info/gnd/1047605287,"Ursprüngliche Aufschrift: ""Heinrich Lammasch""","Original inscription: ""Heinrich Lammasch""",
352,SZ-AAP/W-AA116.1,"Zweig, Stefan",http://d-nb.info/gnd/118637479,Unbekannt,,Unbekannt,Heinrich Lammasch.,,,,,Neue Zurcher Ztg,"Lammasch, Heinrich",29. X. 1918.,,,1918-10-29,ger,"Zeitungsausschnitt, 1 Blatt","Newspaper clipping, 1 leaf",,,,,Violette Tinte,Purple ink,Zürich,Archiv Atrium Press,Ankauf Christie's London 2014,Zeitungsausschnitte,Newspaper clippings,"Neue Zürcher Zeitung, Zürich, 29. 10. 1918","Lammasch, Heinrich",http://d-nb.info/gnd/118726110,,,http://d-nb.info/gnd/1047605287,,,
