PID,Context,"Lilien, Ephraim Mose",Verfasser*in GND,Körperschaft Verfasser*in,Körperschaft Verfasser*in GND,Adressat*in,Adressat*in GND,Körperschaft Adressat*in,Körperschaft Adressat*in GND,Art/Umfang,Physical Description,Beilagen,Enclosures,Datierung Original,Date original,Datierung erschlossen,Date supplied/verified,Datierung normalisiert,Poststempel,Entstehungsort Original,Entstehungsort erschlossen,Postanschrift (original),Sprache,Beschreibstoff,Writing Material,Schreibstoff,Writing Instrument,Schreiberhand,Maße,Standort GND,Signatur,Provenienz,Erwerbung,Acquired,Beteiligte,Beteiligte (GND),Hinweis,Note(s),Postanschrift normalisiert,Anmerkungen
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,16. 4. 28,16. 4. 28,,,1928-04-16,,,,,FRE,"Ansichtspostkarte: ""Karlsbad. | Etablissement Schweizerhof""","Picture postcard: ""Karlsbad. | Etablissement Schweizerhof""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.210,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5","Postkarte: ""Karlsbad. ETABLISSEMENT SCHWEIZERHOF""."
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1931-09-28,28. 9. 31,,,,GER,"Ansichtspostkarte: ""Portofino Vetta – Panorama verso Camogli""","Picture postcard: ""Portofino Vetta – Panorama verso Camogli""",blauschwarze Tinte,blue-black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.212,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,gezeichnet „Grete“,signed “Grete”,"Salzburg, Kapuzinerberg 5","Beschriftung Bild Vorderseite: ""PORTOFINO VETTA - Panorama verso Camogli""."
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1929-09-24,24. 9. 29,,,,GER,"Ansichtspostkarte: ""Heilsberg. Schloss | Kleiner Remter | Sterngewölbe mit Malerei des 16. Jahrh.""","Picture postcard: ""Heilsberg. Schloss | Kleiner Remter | Sterngewölbe mit Malerei des 16. Jahrh.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.213,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Poststempel einen Tag später datiert; Jahreszahl von Poststempel entnommen; Ende des Textes fehlt; Karte ist möglicherweise durchtrennt worden.
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1906-11-23,23. NOV. 6,,,,GER,"Ansichtspostkarte: ""Palermo – Villa Giulia – Emicicli pompeiani""","Picture postcard: ""Palermo – Villa Giulia – Emicicli pompeiani""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.214,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Rathausstraße 17","Beschriftung Bild Vorderseite: ""PALERMO - Villa Giulia - Emicicli pompeiani""."
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,9. III. 19.,9. III. 19.,,,1919-03-09,,,,,ITA,"Ansichtspostkarte: ""Campione – Lago di Lugano.""","Picture postcard: ""Campione – Lago di Lugano.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.216,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Rüschlikon, Hotel Belvoir","Gruß auf der Vorderseite. Bild: ""Campione - Lago di Lugano""."
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,3/VIII 07,3/VIII 07,,,1907-08-03,,,,,GER,"Ansichtspostkarte: ""Bad-Deutsch Altenburg N. Ö. | Partie aus dem Kurpark mit Kurhaus.""","Picture postcard: ""Bad-Deutsch Altenburg N. Ö. | Partie aus dem Kurpark mit Kurhaus.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.217,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",Poststempel ist zwei Tage später am 5.08.1907.
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1932-10-03,3. X 32,,,,GER; ITA,"Ansichtspostkarte: ""Isola Bella – Lago Maggiore""","Picture postcard: ""Isola Bella – Lago Maggiore""",blaue Tinte,blue ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.218,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,31. VII. 08,31. VII. 08,,,1908-07-31,,,,,GER,"Ansichtspostkarte: ""Stubaital – Fulpmes gegen die Gletscher""","Picture postcard: ""Stubaital – Fulpmes gegen die Gletscher""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.219,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8","Beschriftung Bild Vorderseite: ""Stubaital - Fulpmes gegen die Gletscher""."
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1921-08-30,30 8. 21,,,,GER,"Ansichtspostkarte: ""Hannover – Alte Häuser am Markt""","Picture postcard: ""Hannover – Alte Häuser am Markt""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.221,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5","Beschriftung Bild Vorderseite: ""Hannover - Alte Häuser am Markt""."
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1927-01-02,2. 1 27,,,,FRE,"Ansichtspostkarte: ""Paris | Le Dôme des Invalides""","Picture postcard: ""Paris | Le Dôme des Invalides""",violette Tinte,purple ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.222,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Ovaler durchgestrichener Kreis über Empfängeradresse/Text.
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1912-08-24,24. VIII 12.,,,,GER,"Ansichtspostkarte: ""Engelberg und die Spannörter 3205 m""","Picture postcard: ""Engelberg und die Spannörter 3205 m""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.223,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8","Eine Briefmarke fehlt; Absender hat seitlich weitergeschrieben. Bild Vorderseite: ""Engelberg und die Spannörter""."
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,1er/9me/03,1er/9me/03,,,1903-09-01,,,,,FRE,"Ansichtspostkarte: ""Paris. – Fontaine Médicis""","Picture postcard: ""Paris. – Fontaine Médicis""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.225,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Rathausstraße 17",Grüße auf der Vorderseite.
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,1. VIII. 25,1. VIII. 25,,,1925-08-01,,,,,GER,"Ansichtspostkarte: ""Pigne d'Arolla""","Picture postcard: ""Pigne d'Arolla""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.226,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5","Absender schreibt seitlich weiter. Beschriftung Bild Vorderseite: ""PIGNE D'AROLLA""."
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,26/6 1907,26/6 1907,,,1907-06-26,,,,,FRE,"Ansichtspostkarte: ""Lille. – Statue de Napoléon – Intérieur de la Bourse""","Picture postcard: ""Lille. – Statue de Napoléon – Intérieur de la Bourse""",violette Tinte,purple ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.231,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",Absender schreibt auf Vorderseite weiter; Text ist mit einen Bleistiftstrich durchgestrichen.
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,,26. 3. 3?,,,,GER,"Ansichtspostkarte: ""Bamberg. Dom, Figuren am Adamsportal""","Picture postcard: ""Bamberg. Dom, Figuren am Adamsportal""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.232,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,"Jahr unbekannt, die verwendete Briefmarke erschien am 1. September 1928","Year unknown, the stamp used was issued on 1 September 1928","Salzburg, Kapuzinerberg 5","Briefmarke fehlt zum Teil; Die Jahreszahl ist schwer leserlich. Beschriftung Bild Vorderseite: ""Bamberg. Dora, Figuren am Adamsportal""."
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,17/IV. 33.,17/IV. 33.,,,1933-04-17,,,,,GER,"Ansichtspostkarte: ""Schloss Kyburg vom Flugzeug aus gesehen""","Picture postcard: ""Schloss Kyburg vom Flugzeug aus gesehen""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.233,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5","Ansichtskarte wieder abgezwickt; letzter Teil des Schreibens fehlt. Beschriftung Bild Vorderseite: ""Schloss Kyburg vom Flugzeug aus gesehen""."
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1906-03-20,20 3 06,,,,GER,"Ansichtspostkarte: ""Paris – Avenue d l'Opéra""","Picture postcard: ""Paris – Avenue d l'Opéra""",violette Tinte,purple ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.235,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Rathausstraße 17","Beschriftung Bild Vorderseite: ""PARIS - Avenue de l'Opéra""."
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,27-sep.-1934,27-sep.-1934,,,1934-09-27,,,,,SPA,"Ansichtspostkarte: ""Senate Building, Havana, Cuba.""","Picture postcard: ""Senate Building, Havana, Cuba.""",schwarzes Farbband,black ribbon,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.266,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5","Vorderseite: Senate Building, Havana, Cuba. - 19."
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,4. VI. 30,4. VI. 30,,,1930-06-04,,,,,GER,"Ansichtspostkarte: ""Moonlight Scene on a Florida River. | View from Grounds of Thomas A. Edison Home. Fort Myers, FLA.""","Picture postcard: ""Moonlight Scene on a Florida River. | View from Grounds of Thomas A. Edison Home. Fort Myers, FLA.""",blaue Tinte,blue ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.267,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Linzergasse 14",Vorderseite: Moonlight Scene on a Florida River.
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1913-08-25,25. VIII.13,,,,GER,"Ansichtspostkarte: ""Fragsburg gegen Meran (734 m.)""","Picture postcard: ""Fragsburg gegen Meran (734 m.)""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.269,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,gezeichnet „Irene“,signed “Irene”,"Wien, Kochgasse 8",Vorderseite: Fragsburg gegen Meran (734 M.)
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,29-5-1932.,29-5-1932.,,,1932-05-29,,,,,ITA,"Ansichtspostkarte: ""Napoli – Panorama e Vesuvio""","Picture postcard: ""Napoli – Panorama e Vesuvio""",bauschwarze Tinte,blue-black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.270,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Vorderseite: Napoli - Panorama e Vesuvio
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1931-08-01,1. VIII. 31.,,,,GER,"Ansichtspostkarte: ""Gaisberg mit Autostrasse aus 3500m""","Picture postcard: ""Gaisberg mit Autostrasse aus 3500m""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.271,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Zell am See, Thumersbach",Vorderseite: Gaisberg mit Autostrasse aus 3500 m
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,3. 10. 26,3. 10. 26,,,1926-10-03,,,,,GER,"Ansichtspostkarte: ""Roma. Piazza Vittorio Emanuele. Giardino.""","Picture postcard: ""Roma. Piazza Vittorio Emanuele. Giardino.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.272,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Vorderseite: Roma. Piazza Vittorio Emanuele Giardino.
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1905-04-23,23-4 05,,,,FRE,"Ansichtspostkarte: ""Le Havre. – L'Église St-Michel.""","Picture postcard: ""Le Havre. – L'Église St-Michel.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.274,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Paris, 5 rue Victor Massé",Vorderseite: Le Havre. - L'Église St-Michel.
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,18. Aug. 1917,18. Aug. 1917,,,1917-08-18,,,,,GER,"Ansichtspostkarte: ""Marienbad""","Picture postcard: ""Marienbad""",blaue Tinte,blue ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.276,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Kalksburg, Liechtensteinstraße 12 ",Vorderseite: Marienbad. Markierung und Beschriftung eines der Häuser durch den Absender.
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1927-07-12,12. JUL 27,,,,GER,"Ansichtspostkarte: ""Dürnstein a. d. Donau""","Picture postcard: ""Dürnstein a. d. Donau""",blauer Farbstift,blue crayon,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.277,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Vorderseite: Dürnstein a. d. Donau
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1912-09-23,23 9 12,,,,GER,"Ansichtspostkarte: ""Ferrara – Cattedrale""","Picture postcard: ""Ferrara – Cattedrale""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.278,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",Vorderseite: Ferrara - Cattedrale
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,28. Juli 1932,28. Juli 1932,,,1932-07-28,,,,,GER,Ansichtspostkarte [Genfersee],Picture postcard [Lake Geneva],schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.279,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,gezeichnet „Gottfried“,signed “Gottfried”,"Salzburg, Kapuzinerberg 5",Vorderseite (handschriftlich): Genf - See
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1910-04-21,21 4 10,,,,GER,"Ansichtspostkarte: ""Im Moolsdorfer Park. | Blick auf das Schloss.""","Picture postcard: ""Im Moolsdorfer Park. | Blick auf das Schloss.""",grüne Tinte,green ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.280,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8",Vorderseite: Im Moolsdorfer Park. Blick auf das Schloss.
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,27/7 29,27/7 29,,,1929-07-27,,,,,GER,"Ansichtspostkarte: ""Charlotte Street, Fraserburgh.""","Picture postcard: ""Charlotte Street, Fraserburgh.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.282,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5","Vorderseite: Charlotte Street, Fraserburgh."
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1935-08-27,27. VIII 35,,,,ITA,"Ansichtspostkarte: ""La Farnesina (Sede della Reale Accademia d'Italia) | Loggia di Psiche""","Picture postcard: ""La Farnesina (Sede della Reale Accademia d'Italia) | Loggia di Psiche""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.283,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Marienbad, Villa Souvenir",Datierung unsicher. Vorderseite: La Farnesia (Sede della Reale Accademia d'Italia). Loggia di Psiche
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,20 VI/26,20 VI/26,,,1926-06-20,,,,,FRE,"Ansichtspostkarte: ""Hamburg| St. Pauli, Landungsbrücken.""","Picture postcard: ""Hamburg| St. Pauli, Landungsbrücken.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.285,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5","Vorderseite: Hamburg. St. Pauli, Landungsbrücken."
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,Sylvestertag 29.,Sylvestertag 29.,,,1929-12-31,,,,,FRE,"Ansichtspostkarte: ""Bordeaux. – Ruines du Palais Gallien""","Picture postcard: ""Bordeaux. – Ruines du Palais Gallien""",blaue Tinte,blue ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.286,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Vorderseite: Bordeaux. - Ruines du Palais Gallien - M. D.
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1930-09-23,23. IX. 30,,,,GER,"Ansichtspostkarte: ""Krems a. D.""","Picture postcard: ""Krems a. D.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.287,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Salzburg, Kapuzinerberg 5",Datierung unsicher. Vorderseite: Krems a. D.
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,1918-10-02,2. X. 18,,,,GER,"Ansichtspostkarte: ""Lovrana. – Verafels.""","Picture postcard: ""Lovrana. – Verafels.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.289,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8","Vorderseite: Lovrana. - Verafels. Handschriftlicher Zusatz: Villa Iris. Wilhelm, Paul? aber nicht: http://d-nb.info/gnd/1318104416 !!!"
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,26 Mai 12,26 Mai 12,,,1912-05-26,,,,,GER,"Ansichtspostkarte: ""Lübeck. Haus der Schiffergesellschaft""","Picture postcard: ""Lübeck. Haus der Schiffergesellschaft""",violette Tinte,purple ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.291,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,,,"Wien, Kochgasse 8","Vorderseite: Lübeck. Haus der Schiffergesellschaft ABSENDERANGABE ABGESCHNITTEN,  POSTADRESSE IST DIESE: https://digital.zlb.de/viewer/image/34115495_1912/6324/ WER PASST DA? FINDE KEINE HINWEISE AUF MELNIK ODER JOHNSON"
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,14. 7. 1927,14. 7. 1927,,,1927-07-14,,,,,GER,"Ansichtspostkarte: ""St. Wolfgang am Abersee, Salzkammergut.""","Picture postcard: ""St. Wolfgang am Abersee, Salzkammergut.""",schwarze Tinte,black ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.52,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,gezeichnet „Robert“,signed “Robert”,"Salzburg, Kapuzinerberg 5","Karte ist in der Mitte geklebt; Absender schreibt auf Vorderseite weiter. Faesi, Robert (unsicher) NEIN!"
,,Unidentified,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,7. 8. 1930,7. 8. 1930,,,1930-08-07,,,,,GER,"Ansichtspostkarte: ""Bad Ischl""","Picture postcard: ""Bad Ischl""",violette Tinte,purple ink,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.72,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,,,gezeichnet „Gusti“,signed “Gusti”,"Salzburg, Kapuzinerberg 5","Glück, Gustav (unsicher) NEIN! MUSS VERWANDSCHAFT SEIN, FREGT NACH ""TANTE IDA"""
,,Unidentified ,,,,"Zweig, Stefan",http://d-nb.info/gnd/118637479,,,"1 Ansichtspostkarte, Manuskript, 1 Blatt","1 picture postcard, manuscript, 1 leaf",,,,,,,,,,,,GER,"Ansichtspostkarte: ""Kaltenleutgeben.""","Picture postcard: ""Kaltenleutgeben.""",Bleistift,pencil,,,http://d-nb.info/gnd/1047605287,SZ-SAM/AK.138,Anna Meingast,Ankauf aus Privatbesitz 2013/2014,Acquisition from private ownership 2013/2014,"Unbekannt/Unidentified (?, Johnna)",,gezeichnet „Alfons“,signed “Alfons”,"Wien, Kochgasse 8","Poststempel mit Datum unleserlich; Grüße sind auf der Vorderseite, weitere Unterschrift: Johanna Kraml. Petzold, Alfons NEIN!"
